league,season,snapshot_date,club_name,external_club_id,native_club_id,team_type,status,source_url,source_sha256
FRA1,2026/27,2026-09-12,Olympique Lyon,1041,1179661,FIRST,CONFIRMED,https://ligue1.com/fr/articles/l1_article_5284-,9405a33e7f9c2435db67bfbc806ca4eac7cd73463ba2032bc589f13d442f0685
FRA1,2026/27,2026-09-12,Olympique Marseille,244,1179662,FIRST,CONFIRMED,https://ligue1.com/fr/articles/l1_article_5284-,9405a33e7f9c2435db67bfbc806ca4eac7cd73463ba2032bc589f13d442f0685
FRA1,2026/27,2026-09-12,Paris FC,10004,1179855,FIRST,CONFIRMED,https://ligue1.com/fr/articles/l1_article_5284-,9405a33e7f9c2435db67bfbc806ca4eac7cd73463ba2032bc589f13d442f0685
FRA1,2026/27,2026-09-12,Paris Saint-Germain,583,1179663,FIRST,CONFIRMED,https://ligue1.com/fr/articles/l1_article_5284-,9405a33e7f9c2435db67bfbc806ca4eac7cd73463ba2032bc589f13d442f0685
FRA1,2026/27,2026-09-12,RC Lens,826,1179664,FIRST,CONFIRMED,https://ligue1.com/fr/articles/l1_article_5284-,9405a33e7f9c2435db67bfbc806ca4eac7cd73463ba2032bc589f13d442f0685
FRA1,2026/27,2026-09-12,Racing Straßburg,667,1179667,FIRST,CONFIRMED,https://ligue1.com/fr/articles/l1_article_5284-,9405a33e7f9c2435db67bfbc806ca4eac7cd73463ba2032bc589f13d442f0685
FRA1,2026/27,2026-09-12,Stade Brest 29,3911,1179685,FIRST,CONFIRMED,https://ligue1.com/fr/articles/l1_article_5284-,9405a33e7f9c2435db67bfbc806ca4eac7cd73463ba2032bc589f13d442f0685
POR1,2026/27,2026-09-12,Académico Viseu FC,7788,2494468,FIRST,CONFIRMED,https://www.ligaportugal.pt/news/28294/media-kits-1.a-jornada-liga-portugal-betclic,61d16d815700a558bb7a99a47462ccd09b2ce17b92eb65eade6f52eba9359077
POR1,2026/27,2026-09-12,Benfica Lissabon,294,2490372,FIRST,CONFIRMED,https://www.ligaportugal.pt/news/28294/media-kits-1.a-jornada-liga-portugal-betclic,61d16d815700a558bb7a99a47462ccd09b2ce17b92eb65eade6f52eba9359077
POR1,2026/27,2026-09-12,CD Nacional,982,2490378,FIRST,CONFIRMED,https://www.ligaportugal.pt/news/28294/media-kits-1.a-jornada-liga-portugal-betclic,61d16d815700a558bb7a99a47462ccd09b2ce17b92eb65eade6f52eba9359077
POR1,2026/27,2026-09-12,CD Santa Clara,2423,2490388,FIRST,CONFIRMED,https://www.ligaportugal.pt/news/28294/media-kits-1.a-jornada-liga-portugal-betclic,61d16d815700a558bb7a99a47462ccd09b2ce17b92eb65eade6f52eba9359077
POR1,2026/27,2026-09-12,CF Estrela Amadora,2431,2490394,FIRST,CONFIRMED,https://www.ligaportugal.pt/news/28294/media-kits-1.a-jornada-liga-portugal-betclic,61d16d815700a558bb7a99a47462ccd09b2ce17b92eb65eade6f52eba9359077
POR1,2026/27,2026-09-12,CS Marítimo,1301,2490376,FIRST,CONFIRMED,https://www.ligaportugal.pt/news/28294/media-kits-1.a-jornada-liga-portugal-betclic,61d16d815700a558bb7a99a47462ccd09b2ce17b92eb65eade6f52eba9359077
POR1,2026/27,2026-09-12,Casa Pia AC,3268,2494469,FIRST,CONFIRMED,https://www.ligaportugal.pt/news/28294/media-kits-1.a-jornada-liga-portugal-betclic,61d16d815700a558bb7a99a47462ccd09b2ce17b92eb65eade6f52eba9359077
POR1,2026/27,2026-09-12,FC Alverca,2521,2490393,FIRST,CONFIRMED,https://www.ligaportugal.pt/news/28294/media-kits-1.a-jornada-liga-portugal-betclic,61d16d815700a558bb7a99a47462ccd09b2ce17b92eb65eade6f52eba9359077
POR1,2026/27,2026-09-12,FC Arouca,8024,2494470,FIRST,CONFIRMED,https://www.ligaportugal.pt/news/28294/media-kits-1.a-jornada-liga-portugal-betclic,61d16d815700a558bb7a99a47462ccd09b2ce17b92eb65eade6f52eba9359077
POR1,2026/27,2026-09-12,FC Famalicão,3329,2490398,FIRST,CONFIRMED,https://www.ligaportugal.pt/news/28294/media-kits-1.a-jornada-liga-portugal-betclic,61d16d815700a558bb7a99a47462ccd09b2ce17b92eb65eade6f52eba9359077
POR1,2026/27,2026-09-12,FC Porto,720,2490380,FIRST,CONFIRMED,https://www.ligaportugal.pt/news/28294/media-kits-1.a-jornada-liga-portugal-betclic,61d16d815700a558bb7a99a47462ccd09b2ce17b92eb65eade6f52eba9359077
POR1,2026/27,2026-09-12,GD Estoril Praia,1465,2490386,FIRST,CONFIRMED,https://www.ligaportugal.pt/news/28294/media-kits-1.a-jornada-liga-portugal-betclic,61d16d815700a558bb7a99a47462ccd09b2ce17b92eb65eade6f52eba9359077
POR1,2026/27,2026-09-12,Gil Vicente FC,2424,2490375,FIRST,CONFIRMED,https://www.ligaportugal.pt/news/28294/media-kits-1.a-jornada-liga-portugal-betclic,61d16d815700a558bb7a99a47462ccd09b2ce17b92eb65eade6f52eba9359077
POR1,2026/27,2026-09-12,Moreirense FC,979,2490377,FIRST,CONFIRMED,https://www.ligaportugal.pt/news/28294/media-kits-1.a-jornada-liga-portugal-betclic,61d16d815700a558bb7a99a47462ccd09b2ce17b92eb65eade6f52eba9359077
POR1,2026/27,2026-09-12,Rio Ave FC,2425,2490381,FIRST,CONFIRMED,https://www.ligaportugal.pt/news/28294/media-kits-1.a-jornada-liga-portugal-betclic,61d16d815700a558bb7a99a47462ccd09b2ce17b92eb65eade6f52eba9359077
POR1,2026/27,2026-09-12,SC Braga,1075,2490374,FIRST,CONFIRMED,https://www.ligaportugal.pt/news/28294/media-kits-1.a-jornada-liga-portugal-betclic,61d16d815700a558bb7a99a47462ccd09b2ce17b92eb65eade6f52eba9359077
POR1,2026/27,2026-09-12,Sporting Lissabon,336,2490382,FIRST,CONFIRMED,https://www.ligaportugal.pt/news/28294/media-kits-1.a-jornada-liga-portugal-betclic,61d16d815700a558bb7a99a47462ccd09b2ce17b92eb65eade6f52eba9359077
